"code","reviewId","sourcePath","rawCardPath","decision","runtimePath","proposedRuntimePath","proposedPackageId","blockReason"
"PF","Gree-GMV-PF","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PF.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PF/PF GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pf.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pf.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PH","Gree-GMV-PH","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PH.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PH/PH GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ph.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/ph.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PJ","Gree-GMV-PJ","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PJ.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PJ/PJ GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pj.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pj.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PL","Gree-GMV-PL","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PL.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PL/PL GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pl.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pl.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PP","Gree-GMV-PP","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PP.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PP/PP GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pp.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pp.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"PU","Gree-GMV-PU","data/reference/gree-official-support-error-catalog/review/Gree-GMV-PU.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-PU/PU GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pu.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/outdoor/pu.json","gree-gmv6-outdoor-fault-protection-codes","already-runtime"
"U0","Gree-GMV-U0","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U0.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U0/U0 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u0.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u0.json","gree-gmv6-debugging-codes","already-runtime"
"U2","Gree-GMV-U2","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U2.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U2/U2 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u2.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u2.json","gree-gmv6-debugging-codes","already-runtime"
"U3","Gree-GMV-U3","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U3.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U3/U3 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u3.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u3.json","gree-gmv6-debugging-codes","already-runtime"
"U4","Gree-GMV-U4","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U4.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U4/U4 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u4.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u4.json","gree-gmv6-debugging-codes","already-runtime"
"U5","Gree-GMV-U5","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U5.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U5/U5 GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u5.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u5.json","gree-gmv6-debugging-codes","already-runtime"
"U6","Gree-GMV-U6","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U6.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U6/U6 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u6.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u6.json","gree-gmv6-debugging-codes","already-runtime"
"U8","Gree-GMV-U8","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U8.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U8/U8 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u8.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u8.json","gree-gmv6-debugging-codes","already-runtime"
"U9","Gree-GMV-U9","data/reference/gree-official-support-error-catalog/review/Gree-GMV-U9.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-U9/U9 GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u9.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/u9.json","gree-gmv6-debugging-codes","already-runtime"
"Uc","Gree-GMV-Uc","data/reference/gree-official-support-error-catalog/review/Gree-GMV-Uc.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Uc/UC GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/uc.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/uc.json","gree-gmv6-debugging-codes","already-runtime"
"Ud","Gree-GMV-Ud","data/reference/gree-official-support-error-catalog/review/Gree-GMV-Ud.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-Ud/Ud GMV.png","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ud.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ud.json","gree-gmv6-debugging-codes","already-runtime"
"UE","Gree-GMV-UE","data/reference/gree-official-support-error-catalog/review/Gree-GMV-UE.review.json","data/reference/gree-official-support-error-catalog/raw/cards/Gree-GMV-UE/UE GMV.PNG","already-runtime","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ue.json","data/equipment-diagnostics/error-knowledge/gree/gmv6/debugging/ue.json","gree-gmv6-debugging-codes","already-runtime"
